
之,zhi,first,"marks preceding phrase as modifier of following phrase; it, him her, them; go to"
年,nian,second,year
过,guo,fourth,"pass, pass through, go across"
发,fa,first,"issue, dispatch, send out; hair"
后,hou,fourth,"queen, empress, sovereign; (simp. for後) behind, rear, after"
作,zuo,fourth,"make; work; compose, write; act, perform"
里,li,third,unit of distance; village; lane
用,yong,fourth,"use, employ, apply, operate; use"
道,dao,fourth,"path, road, street; method, way"
行,xing,second,"go; walk; move, travel; circulate"
所,suo,third,"place, location; numerary adjunct"
然,ran,second,"yes, certainly; pledge, promise"
家,jia,first,"house, home, residence; family"
种,zhong,third,"seed; race, breed; to plant"
事,shi,fourth,"affair, matter, business; to serve; accident, incident"
成,cheng,second,"completed, finished, fixed"
方,fang,first,"a square, rectangle; a region; local"
多,duo,first,"much, many; more than, over"
经,jing,first,classic works; pass through
么,me,neutral,interrogative particle; repetition of a tune small; tender
去,qu,fourth,"go away, leave, depart"
法,fa,third,"law, rule, regulation, statute; France, French"
学,xue,second,"learning, knowledge; school"
如,ru,second,"if, supposing; as if; like, as"
都,dou,first,"metropolis, capital; all, the whole; elegant, refined"
同,tong,second,"same, similar; together with"
现,xian,fourth,"appear, manifest, become visible"
当,dang,first,"bear, accept, undertake; just"
没,mei,second,"not, have not, none; drown, sink"
动,dong,fourth,"move, happen; movement, action"
面,mian,fourth,"face; surface; plane; side, dimension"
起,qi,third,"rise, stand up; go up; begin"
看,kan,fourth,"look, see; examine, scrutinize"
定,ding,fourth,"decide, settle, fix"
天,tian,first,"sky, heaven; god, celestial"
分,fen,first,divide; small unit of time etc.
还,hai,second,"still, yet, also, besides"
进,jin,fourth,"advance, make progress, enter"
好,hao,third,"good, excellent, fine; well"
小,xiao,third,"small, tiny, insignificant"
部,bu,fourth,"part, division, section"
其,qi,second,"his, her, its, their; that"
些,xie,first,"little, few; rather, somewhat"
主,zhu,third,"master, chief owner; host; lord"
样,yang,fourth,"shape, form, pattern, style"
理,li,third,"reason, logic; manage"
心,xin,first,"heart; mind, intelligence; soul"
她,ta,first,"she, her"
本,ben,third,"root, origin, source; basis"
前,qian,second,"in front, forward; preceding"
开,kai,first,"open; initiate, begin, start"
但,dan,fourth,"only; but, however, yet, still"
因,yin,first,"cause, reason; by; because (of)"
只,zhi,third,"only, just, simply"
从,cong,second,"from, by, since, whence, through"
想,xiang,third,"think, speculate, plan, consider"
实,shi,second,"real, true; honest, sincere"
日,ri,fourth,sun; day; daytime
军,jun,first,"army, military; soldiers, troops"
者,zhe,third,that which; he who; those who
意,yi,fourth,"thought, idea, opinion; think"
无,wu,second,"negative, no, not; KangXi radical 71"
力,li,fourth,"power, capability, influence"
它,ta,first,it; other
与,yu,third,"and; with; to; for; give, grant"
长,zhang,third,long; length; excel in; leader
把,ba,third,"hold, take; guard; regard as"
机,ji,first,desk; machine; moment
十,shi,second,"ten, tenth; complete; perfect"
民,min,second,"people, subjects, citizens"
第,di,fourth,"sequence, number; grade, degree"
公,gong,first,"fair, equitable; public; duke"
此,ci,third,"this, these; in this case, then"
已,yi,third,already; finished; stop
工,gong,first,"labor, work; worker, laborer"
使,shi,third,"cause, send on a mission, order; envoy, messenger, ambassador"
情,qing,second,"feeling, sentiment, emotion"
明,ming,second,"bright, light, brilliant; clear"
性,xing,fourth,"nature, character, sex"
知,zhi,first,"know, perceive, comprehend"
全,quan,second,"maintain, keep whole or intact"
三,san,first,three
又,you,fourth,"and, also, again, in addition"
关,guan,first,frontier pass; close; relation
点,dian,third,"dot, speck, spot; point, degree"
正,zheng,fourth,"right, proper, correct"
业,ye,fourth,"profession, business; GB radical 111"
外,wai,fourth,"out, outside, external; foreign"
将,jiang,first,"will, going to, future; general"
两,liang,third,"two, both, pair, couple; ounce"
高,gao,first,"high, tall; lofty, elevated"
间,jian,first,"midpoint, space; place, locality"
由,you,second,"cause, reason; from"
问,wen,fourth,"ask about, inquire after"
很,hen,third,"very, quite, much"
最,zui,fourth,"most, extremely, exceedingly"
重,zhong,fourth,"heavy, weighty; double"
并,bing,fourth,"and, further, more, also, together with; to combine"
物,wu,fourth,"thing, substance, creature"
手,shou,third,hand
应,ying,first,"should, ought to, must"
战,zhan,fourth,"war, fighting, battle"
向,xiang,fourth,"toward, direction, trend"
头,tou,second,"head; top; chief, first; boss"
文,wen,second,"literature, culture, writing"
体,ti,third,"body; group, class, body, unit; inferior"
政,zheng,fourth,"government, political affairs"
美,mei,third,"beautiful, pretty; pleasing"
相,xiang,first,"mutual, reciprocal, each other"
见,jian,fourth,"see, observe, behold; perceive"
被,bei,fourth,"quilt, by, (indicates passive-voice clauses)"
利,li,fourth,"gains, advantage, profit, merit"
什,shen,second,"file of ten soldiers; mixed, miscellaneous"
二,er,fourth,two; twice
等,deng,third,"class, rank, grade, equal to, same as, to wait for"
产,chan,third,"give birth, bring forth, produce"
或,huo,fourth,"or, either, else; perhaps, maybe"
新,xin,first,"new, recent, fresh, modern"
己,ji,third,"self, oneself; personal, private; 6th heavenly stem"
制,zhi,fourth,system; establish; overpower
身,shen,first,"body; trunk, hull; rad. no. 158"
果,guo,third,fruit; result
加,jia,first,"add to, increase, augment"
西,xi,first,"west(ern); westward, occident"
斯,si,first,"this, thus, such; to lop off; emphatic particle"
月,yue,fourth,moon; month; KangXi radical 74
话,hua,fourth,"speech, talk, language; dialect"
合,he,second,"combine, unite, join; gather"
回,hui,second,"return, turn around; a time"
特,te,fourth,"special, unique, distinguished"
代,dai,fourth,"replace, replacement (of person or generation); era, generation"
内,nei,fourth,inside
信,xin,fourth,"trust, believe; letter"
表,biao,third,"show, express, manifest, display"
化,hua,fourth,"change, convert, reform; -ize"
老,lao,third,"old, aged; experienced"
给,gei,third,"give; by, for"
世,shi,fourth,generation; world; era
位,wei,fourth,"throne; position, post; rank, status; seat"
次,ci,fourth,"order, sequence; next"
度,du,fourth,"degree, system; manner; to consider"
门,men,second,"gate, door, entrance, opening"
任,ren,fourth,"trust to, rely on, appoint; to bear, duty, office; allow"
常,chang,second,"common, normal, frequent, regular"
先,xian,first,"first, former, previous"
海,hai,third,"sea, ocean; maritime"
通,tong,first,"pass through, common, communicate"
教,jiao,fourth,"teach, class"
儿,er,second,"son, child; KangXi radical 10"
原,yuan,second,"source, origin, beginning"
东,dong,first,"east, eastern, eastward"
声,sheng,first,"sound, voice, noise; tone; music"
提,ti,second,hold in hand; lift in hand
立,li,fourth,"stand; let stand; establish, set"
及,ji,second,extend; reach; come up to; and
比,bi,third,"to compare, liken; comparison; than"
员,yuan,second,"member; personnel, staff member"
解,jie,third,"loosen, unfasten, untie; explain"
水,shui,third,"water, liquid, lotion, juice"
名,ming,second,"name, rank, title, position"
真,zhen,first,"real, actual, true, genuine"
论,lun,fourth,debate; discuss; discourse
处,chu,fourth,"place, locale; department"
走,zou,third,"walk, go on foot; run; leave"
义,yi,fourth,"right conduct, righteousness"
各,ge,fourth,"each, individually, every, all"
入,ru,fourth,"enter, come in(to), join"
几,ji,third,small table
口,kou,third,"mouth; open end; entrance, gate"
认,ren,fourth,"recognize, know, understand"
条,tiao,second,"clause, condition; string, stripe"
平,ping,second,"flat, level, even; peaceful"
系,xi,fourth,"system; line, link, connection"
气,qi,fourth,"steam, vapor; KangXi radical 84"
题,ti,second,"forehead; title, headline; theme"
活,huo,second,"live, exist, survive; lively"
尔,er,third,"you; that, those; final particle"
更,geng,fourth,"more, still further, much more"
别,bie,second,"separate, other; do not"
打,da,third,"strike, hit, beat; fight; attack"
女,nü,third,"woman, girl; feminine; rad. 38"
变,bian,fourth,"change, transform, alter; rebel"
四,si,fourth,four
神,shen,second,"spirit, god, supernatural being"
总,zong,third,"collect; overall, altogether"
何,he,second,"what, why, where, which, how"
电,dian,fourth,electricity; electric; lightning
数,shu,fourth,"number; several, count; fate"
安,an,first,"peaceful, tranquil, quiet"
少,shao,third,"few, less, inadequate"
报,bao,fourth,"report, tell, announce"
才,cai,second,"talent, ability; just, only"
结,jie,second,"knot, tie; join, connect"
反,fan,third,"reverse, opposite, contrary, anti"
受,shou,fourth,"receive, accept, get; bear, stand"
目,mu,fourth,"eye; look, see; division, topic"
太,tai,fourth,"very, too, much; big; extreme"
量,liang,fourth,"measure, quantity, capacity"
再,zai,fourth,"again, twice, re-"
感,gan,third,"feel, perceive, emotion"
建,jian,fourth,"build, establish, erect, found"
务,wu,fourth,"affairs, business; must, should"
做,zuo,fourth,"work, make; act"
接,jie,first,receive; continue; catch; connect
必,bi,fourth,"surely, most certainly; must"
场,chang,third,"open space, field, market"
件,jian,fourth,numerary adjunct for article; matter
计,ji,fourth,"plan, plot; strategem; scheme"
管,guan,third,"pipe, tube, duct; woodwind music"
期,qi,first,period of time; date; time limit
市,shi,fourth,"market, fair; city, town; trade"
直,zhi,second,"straight, erect, vertical"
德,de,second,"ethics, morality, virtue"
资,zi,first,property; wealth; capital
命,ming,fourth,"life; destiny, fate, luck; an order, instruction"
山,shan,first,"mountain, hill, peak"
金,jin,first,gold; metals in general; money
指,zhi,third,"finger, toe; point, indicate"
克,ke,fourth,gram; overcome; transliteration
许,xu,third,"allow, permit; promise; betroth"
统,tong,third,"govern, command, control; unite"
区,qu,first,"area, district, region, ward"
保,bao,third,"protect, safeguard, defend, care"
至,zhi,fourth,"reach, arrive; extremely, very"
队,dui,fourth,"team, group; army unit"
形,xing,second,"form, shape, appearance"
社,she,fourth,"god of the soil and altars to him; group of families; company, society"
便,bian,fourth,"convenience, ease; expedient"
空,kong,first,"empty, hollow, bare, deserted"
决,jue,second,"decide, determine, judge"
治,zhi,fourth,"govern, regulate, administer"
展,zhan,third,"open, unfold; stretch, extend"
马,ma,third,horse; surname; KangXi radical 187
科,ke,first,"section, department, science"
司,si,first,"take charge of, control, manage; officer"
五,wu,third,five; surname
基,ji,first,"foundation, base"
眼,yan,third,"eye; eyelet, hole, opening"
书,shu,first,"book, letter, document; writings"
非,fei,first,"not, negative, non-; oppose"
则,ze,second,"rule, law, regulation; grades"
听,ting,first,"hear; understand; obey, comply"
白,bai,second,"white; pure, unblemished; bright"
却,que,fourth,"still, but; decline; retreat"
界,jie,fourth,"boundary, limit; domain; society; the world"
达,da,second,"arrive at, reach; intelligent; smooth, slippery"
光,guang,first,"light, brilliant, shine; only"
放,fang,fourth,"put, release, free, liberate"
强,qiang,second,"strong, powerful, energetic"
即,ji,second,"promptly, quickly, immediately"
像,xiang,fourth,"a picture, image, figure; to resemble"
难,nan,second,"difficult, arduous, hard; unable"
且,qie,third,"moreover, also (post-subject); about to, will soon (pre-verb)"
权,quan,second,"power, right, authority"
思,si,first,"think, consider, ponder; final particle"
王,wang,second,"king, ruler; royal; surname"
象,xiang,fourth,"elephant; ivory; figure, image"
完,wan,second,"complete, finish, settle; whole"
设,she,fourth,build; establish; display
式,shi,fourth,"style, system, formula, rule"
色,se,fourth,"color, tint, hue, shade; form, body; beauty, desire for beauty"
路,lu,fourth,"road, path, street; journey"
记,ji,fourth,"record; keep in mind, remember"
南,nan,second,south; southern part; southward
品,pin,third,"article, product, commodity"
住,zhu,fourth,"reside, live at, dwell, lodge; stop"
告,gao,fourth,"tell, announce, inform; accuse"
类,lei,fourth,"class, group, kind, category"
求,qiu,second,"seek; demand, request; beseech"
据,ju,fourth,"to occupy, take possession of; a base, position"
程,cheng,second,"journey, trip; schedule, agenda"
北,bei,third,north; northern; northward
边,bian,first,"edge, margin, side, border"
死,si,third,die; dead; death
张,zhang,first,"stretch, extend, expand; sheet"
该,gai,first,"should, ought to, need to"
交,jiao,first,"mix; intersect; exchange, communicate; deliver"
规,gui,first,"rules, regulations, customs, law"
万,wan,fourth,ten thousand; innumerable
取,qu,third,"take, receive, obtain; select"
拉,la,first,"pull, drag; seize, hold; lengthen"
格,ge,second,"pattern, standard, form; style"
望,wang,fourth,"to look at, look forward; to hope, expect"
觉,jue,second,to wake up from sleep; conscious
术,shu,fourth,"art, skill, special feat; method, technique"
领,ling,third,"neck; collar; lead, guide"
共,gong,fourth,"together with, all, total; to share"
确,que,fourth,"sure, certain; real, true"
传,chuan,second,"summon; propagate, transmit"
师,shi,first,"teacher, master, specialist"
观,guan,first,"see, observe, view; appearance"
清,qing,first,"clear, pure, clean; peaceful"
今,jin,first,"now, today, modern era"
切,qie,fourth,"cut, mince, slice, carve"
院,yuan,fourth,"courtyard, yard, court; school"
让,rang,fourth,"allow, permit, yield, concede"
识,shi,second,"recognize, understand, know"
候,hou,fourth,wait; expect; visit; greet
带,dai,fourth,"belt, girdle, band, strap, zone"
导,dao,third,"direct, guide, lead, conduct"
争,zheng,first,"dispute, fight, contend, strive"
运,yun,fourth,"run; simplified form of 運 luck, fortune; ship, transport"
笑,xiao,fourth,"smile, laugh, giggle; snicker"
飞,fei,first,fly; go quickly; dart; high
风,feng,first,"wind; air; manners, atmosphere"
步,bu,fourth,"step, pace; walk, stroll"
改,gai,third,"change, alter; improve, remodel"
收,shou,first,"gather together, collect; harvest"
根,gen,first,"root, base(d on); foundation"
干,gan,fourth,"oppose, offend; invade; dried"
造,zao,fourth,"construct, build, make, begin; prepare"
言,yan,second,"words, speech; speak, say"
联,lian,second,"connect, join; associate, ally"
持,chi,second,"sustain, support; hold, grasp"
组,zu,third,"class; section, department"
每,mei,third,"every, each"
济,ji,fourth,"help, aid, relieve; ferry, cross"
车,che,first,"cart, vehicle; carry in cart"
亲,qin,first,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
极,ji,second,"extreme, utmost, furthest, final"
林,lin,second,"forest, grove; surname"
服,fu,second,"clothes; wear, dress"
快,kuai,fourth,"rapid, quick, speedy, fast; soon"
办,ban,fourth,"manage, do, handle; deal with"
议,yi,fourth,"consult, talk over, discuss"
往,wang,third,"go, depart; past, formerly"
元,yuan,second,first; dollar; origin; head
英,ying,first,"petal, flower, leaf; brave, a hero; England, English"
士,shi,fourth,"scholar, gentleman; soldier"
证,zheng,fourth,"prove, confirm, verify; proof"
近,jin,fourth,"near, close; approach; intimate"
失,shi,first,"lose; make mistake, neglect"
转,zhuan,third,"shift, move, turn"
夫,fu,first,"man, male adult, husband; those"
令,ling,fourth,"to order, to command, an order"
准,zhun,third,"approve, allow, permit; in accord"
布,bu,fourth,"cotton cloth, textiles, linen"
始,shi,third,"begin, start; then, only then"
怎,zen,third,what? why? how?
呢,ne,neutral,interrogative or emphatic final; (Cant.) this
存,cun,second,"exist, live, be; survive; remain"
未,wei,fourth,not yet; 8th terrestrial branch
远,yuan,third,"distant, remote, far; profound"
叫,jiao,fourth,"cry, shout; hail, greet, call"
台,tai,second,platform; unit; term of address
单,dan,first,"single, individual, only; lone"
影,ying,third,"shadow; image, reflection; photograph"
具,ju,fourth,"tool, implement; draw up, write"
罗,luo,first,net for catching birds; gauze
字,zi,fourth,"letter, character, word"
爱,ai,fourth,"love, be fond of, like"
击,ji,first,"strike, hit, beat; attack, fight"
流,liu,second,"flow, circulate, drift; class"
备,bei,fourth,"prepare, ready, perfect"
兵,bing,first,"soldier, troops"
连,lian,second,"join, connect; continuous; even"
调,diao,fourth,"transfer, move, change; tune"
深,shen,first,"deep; depth; far; very, extreme"
商,shang,first,"commerce, business, trade"
算,suan,fourth,"count, calculate, figure; plan"
质,zhi,fourth,"matter, material, substance"
团,tuan,second,"sphere, ball, circle; mass, lump"
集,ji,second,"assemble, collect together"
百,bai,third,"one hundred; numerous, many"
需,xu,first,"need, require, must"
价,jia,fourth,"price, value"
花,hua,first,flower; blossoms
党,dang,third,"political party, gang, faction"
华,hua,second,flowery; illustrious; Chinese
城,cheng,second,"castle; city, town; municipality"
石,shi,second,"stone, rock, mineral; rad. 112"
级,ji,second,"level, rank, class; grade"
整,zheng,third,"orderly, neat, tidy; whole"
府,fu,third,prefecture; prefect; government
离,li,second,rare beast; strange; elegant
况,kuang,fourth,"condition, situation; furthermore"
亚,ya,fourth,Asia; second
请,qing,third,"ask, request; invite; please"
技,ji,fourth,"skill, ability, talent, ingenuity"
际,ji,fourth,"border, boundary, juncture"
约,yue,first,"treaty, agreement, covenant"
示,shi,fourth,"show, manifest; demonstrate"
复,fu,fourth,return; repeat; repeatedly
病,bing,fourth,"illness, sickness, disease"
息,xi,first,"rest, put stop to, end, cease"
究,jiu,first,"examine, investigate"
线,xian,fourth,"line, thread, wire; clue"
似,shi,fourth,"resemble, similar to; as if, seem"
官,guan,first,"official, public servant"
火,huo,third,"fire, flame; burn; anger, rage"
断,duan,fourth,"sever, cut off; interrupt"
精,jing,first,essence; semen; spirit
满,man,third,"fill; full, satisfied"
支,zhi,first,"disperse, pay; support; branch"
视,shi,fourth,"look at, inspect, observe, see"
消,xiao,first,"vanish, die out; melt away"
越,yue,fourth,"exceed, go beyond; the more ..."
器,qi,fourth,"receptacle, vessel; instrument"
容,rong,second,"looks, appearance; figure, form"
照,zhao,fourth,"shine, illumine, reflect"
须,xu,first,"must, have to, necessary"
九,jiu,third,nine
增,zeng,first,"increase, add to, augment"
研,yan,second,"grind, rub; study, research"
写,xie,third,"write; draw, sketch; compose"
称,cheng,first,"call; name, brand; address; say"
企,qi,third,plan a project; stand on tiptoe
八,ba,first,"eight; all around, all sides"
功,gong,first,"achievement, merit, good result"
吗,ma,neutral,final interrogative particle
包,bao,first,"wrap, pack, bundle; package"
片,pian,fourth,"slice, splinter, strip; rad. 91"
史,shi,third,"history, chronicle, annals"
委,wei,third,"appoint, send, commission"
乎,hu,first,interrogative or exclamatory final particle
查,cha,second,"investigate, examine, seek into"
轻,qing,first,"light; easy, simple; gentle"
易,yi,fourth,change; easy
早,zao,third,early; soon; morning
曾,ceng,second,already; sign of past
除,chu,second,"eliminate, remove, except"
农,nong,second,"agriculture, farming; farmer"
找,zhao,third,"search, seek, look for; find"
装,zhuang,first,"dress, clothes, attire; fill"
广,guang,third,"wide, extensive, broad; rad. 53"
显,xian,third,"manifest, display; evident, clear"
吧,ba,neutral,emphatic final particle
阿,a,first,"prefix used before monosyllabic names, kinship terms etc to indicate familiarity"
李,li,third,plum; judge; surname
标,biao,first,"mark, symbol, label, sign; stand the bole of a tree"
谈,tan,second,talk; conversation; surname
吃,chi,first,"eat; drink; suffer, endure, bear"
图,tu,second,"diagram; chart, map, picture"
念,nian,fourth,"think of, recall, study"
六,liu,fourth,number six
引,yin,third,"to pull, draw out, attract; to stretch"
历,li,fourth,history; calendar
首,shou,third,"head; first; leader, chief; a poem"
医,yi,first,"cure, heal; doctor, medical"
局,ju,second,"bureau, office; circumstance"
突,tu,first,"suddenly, abruptly, unexpectedly"
专,zhuan,first,"monopolize, take sole possession"
费,fei,fourth,"expenses, expenditures, fee"
号,hao,fourth,"mark, sign; symbol; number"
尽,jin,third,"exhaust, use up; deplete"
另,ling,fourth,"another, separate, other"
周,zhou,first,Zhou dynasty; circumference
较,jiao,fourth,"compare; comparatively, more"
注,zhu,fourth,"concentrate, focus, direct"
语,yu,third,"language, words; saying, expression"
仅,jin,third,"only, merely, solely, just"
考,kao,third,"examine, test; investigate"
落,luo,fourth,"fall, drop; net income, surplus"
青,qing,first,"blue, green, black; young"
随,sui,second,"follow, listen to, submit to"
选,xuan,third,"choose, select; elect; election"
列,lie,fourth,"a line; to arrange in order, classify"
武,wu,third,"military; martial, warlike"
红,hong,second,"red, vermillion; blush, flush"
响,xiang,third,"make sound, make noise; sound"
虽,sui,first,"although, even if"
推,tui,first,"push, expel; push forward"
势,shi,fourth,"power, force; tendency"
参,can,first,"take part in, intervene; ginseng"
希,xi,first,"rare; hope, expect, strive for"
古,gu,third,"old, classic, ancient"
众,zhong,fourth,"multitude, crowd; masses, public"
构,gou,fourth,"frame, building, structure"
房,fang,second,"house, building; room"
半,ban,fourth,half
节,jie,second,"knot, node, joint; section"
土,tu,third,"soil, earth; items made of earth"
投,tou,second,"throw, cast, fling, pitch; jump"
某,mou,third,certain thing or person
案,an,fourth,"table, bench; legal case"
黑,hei,first,"black; dark; evil, sinister"
维,wei,second,"maintain, preserve, safeguard"
革,ge,second,"leather, animal hides; rad. 177"
划,hua,fourth,to row or paddle boat; to scratch
敌,di,second,"enemy, foe, rival; resist"
致,zhi,fourth,"send, deliver, present; cause"
陈,chen,second,"exhibit, display; plead; a surname"
律,lü,fourth,"statute, principle, regulation"
足,zu,second,"foot; attain, satisfy, enough"
态,tai,fourth,"manner, bearing, attitude"
护,hu,fourth,"protect, guard, defend, shelter"
七,qi,first,seven
兴,xing,fourth,"thrive, prosper, flourish"
派,pai,fourth,"school of thought, sect, branch"
孩,hai,second,"baby, child; children"
验,yan,fourth,"test, examine, inspect; verify"
责,ze,second,"duty, responsibility; to reproach, to blame"
营,ying,second,"encampment, barracks; manage"
星,xing,first,"a star, planet; any point of light"
够,gou,fourth,"enough, adequate"
章,zhang,first,"composition; chapter, section"
音,yin,first,"sound, tone, pitch, pronunciation"
跟,gen,first,"heel; to follow, accompany; with"
志,zhi,fourth,"purpose, will, determination; annals"
底,di,third,"bottom, underneath, underside"
站,zhan,fourth,"stand up; a stand, station"
严,yan,second,"strict, rigorous, rigid; stern"
巴,ba,first,"greatly desire, anxiously hope"
例,li,fourth,"precedent, example; regulation"
防,fang,second,defend; prevent; embankment
族,zu,second,"a family clan, ethnic group, tribe"
供,gong,first,"supply, provide for; offer in worship"
效,xiao,fourth,"result, effect; effectiveness"
续,xu,fourth,"continue, carry on; succeed"
施,shi,first,"grant, bestow; give; act; name"
留,liu,second,"stop, halt; stay, detain, keep"
讲,jiang,third,explain; discuss; talk
型,xing,second,"pattern, model, type; law; mold"
料,liao,fourth,"consider, conjecture; materials, ingredients"
终,zhong,first,"end; finally, in the end"
答,da,second,"answer, reply; return; assent to"
紧,jin,third,"tense, tight, taut; firm, secure"
黄,huang,second,yellow; surname
绝,jue,second,"to cut, sever, break off, terminate"
奇,qi,second,"strange, unusual, uncanny, occult"
察,cha,second,"examine, investigate; notice"
母,mu,third,mother; female elders; female
京,jing,first,capital city
段,duan,fourth,"section, piece, division"
依,yi,first,"rely on, be set in; consent, obey a wish"
批,pi,first,"comment, criticize; wholesale"
群,qun,second,"(same as 羣) group, crowd, multitude, mob"
项,xiang,fourth,"neck, nape of neck; sum; funds"
故,gu,fourth,"ancient, old; reason, because"
按,an,fourth,"put hand on, press down with hand"
河,he,second,river; stream; yellow river
米,mi,third,hulled or husked uncooked rice
围,wei,second,"surround, encircle, corral"
江,jiang,first,large river; yangzi; surname
织,zhi,first,"weave, knit; organize, unite"
害,hai,fourth,"injure, harm; destroy, kill"
斗,dou,fourth,Chinese peck; liquid measure
双,shuang,first,"set of two, pair, couple; both"
境,jing,fourth,"boundary, frontier; area, region"
客,ke,fourth,"guest, traveller; customer"
纪,ji,fourth,"record, annal, historical account"
采,cai,third,"collect, gather; pick, pluck"
举,ju,third,"raise, lift up; recommend"
杀,sha,first,"kill, slaughter, murder; hurt"
攻,gong,first,"attack, assault; criticize"
父,fu,fourth,father; KangXi radical 88
苏,su,first,abbr. for Soviet Union; Perilla frutescens (Chinese basil or wild red basil); place name
密,mi,fourth,"dense, thick, close; intimate"
低,di,first,"low; to lower, hang, bend, bow"
朝,chao,second,dynasty; morning
友,you,third,"friend, companion; fraternity"
诉,su,fourth,accuse; sue; inform; narrate
止,zhi,third,"stop, halt, desist; detain"
细,xi,fourth,"fine, tiny; slender, thin"
愿,yuan,fourth,"sincere, honest, virtuous"
千,qian,first,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
值,zhi,second,price
仍,reng,second,"yet, still, as ever; again; keep -ing, continuing"
男,nan,second,"male, man; son; baron; surname"
钱,qian,second,"money, currency, coins"
破,po,fourth,"break, ruin, destroy; rout"
网,wang,third,net; network; KangXi radical 122
热,re,fourth,hot; heat; fever; restless; zeal
助,zhu,fourth,"help, aid, assist"
倒,dao,fourth,fall over; lie down; take turns
育,yu,fourth,"produce, give birth to; educate"
属,shu,third,"class, category, type; belong to"
坐,zuo,fourth,"sit; seat; ride, travel by"
帝,di,fourth,"supreme ruler, emperor; god"
限,xian,fourth,"boundary, limit, line"
船,chuan,second,"ship, boat, vessel"
脸,lian,third,face; cheek; reputation
职,zhi,second,"duty, profession; office, post"
速,su,fourth,"quick, prompt, speedy"
刻,ke,fourth,"carve, engrave; quarter hour"
乐,le,fourth,"happy, glad; enjoyable; music"
否,fou,third,"not, no, negative; final particle"
刚,gang,first,"hard, tough, rigid, strong"
威,wei,first,"pomp, power; powerful; dominate"
毛,mao,second,"hair, fur, feathers; coarse"
状,zhuang,fourth,form; appearance; shape; official
率,lü,fourth,to lead; ratio; rate; limit
甚,shen,second,great extent; considerably
独,du,second,"alone, single, solitary, only"
球,qiu,second,"ball, sphere, globe; round"
般,ban,first,"sort, manner, kind, category"
普,pu,third,"universal, general, widespread"
怕,pa,fourth,"to fear, be afraid of; apprehensive"
弹,dan,fourth,"pellet, bullet, shot, shell"
校,xiao,fourth,school; military field officer
苦,ku,third,"bitter; hardship, suffering"
创,chuang,fourth,"establish, create; knife cut"
假,jia,third,"falsehood, deception; vacation"
久,jiu,third,"long time (ago); time passage, grow late"
错,cuo,fourth,"error, blunder, mistake; wrong"
承,cheng,second,"inherit, receive; succeed"
印,yin,fourth,"print, seal, stamp, chop, mark"
晚,wan,third,"night, evening; late"
兰,lan,second,"orchid; elegant, graceful"
试,shi,fourth,"test, try, experiment"
股,gu,third,"thighs, haunches, rump; share"
拿,na,second,"take, hold, grasp; bring; with"
脑,nao,third,brain
预,yu,fourth,"prepare, arrange; in advance"
谁,shui,second,who? whom? whose? anyone?
益,yi,fourth,"profit, benefit; advantage"
阳,yang,second,positive (electric.); sun; male principle (Taoism)
若,ruo,fourth,"if, supposing, assuming; similar"
哪,na,third,which? where? how?
微,wei,first,"small, prefix micro-, trifling"
尼,ni,second,Buddhist nun; transliteration
继,ji,fourth,"continue, maintain, carry on"
送,song,fourth,"see off, send off; dispatch, give"
急,ji,second,"quick, quickly; urgent, pressing"
